,L1,L2,L3,LAND,KAP
GOODS,449,3282,3013,980.8,508.997
TRADE,2729,4360,1851,561.2,175.377
OTHER,6306,12396,5444,1262.1,461.809
HS1,0,0,0,810.4,1793.086
HS2,0,0,0,2362.3,2127.482
HS3,0,0,0,51.5,189.265
FED,6,39,28,0,0
STATE,15,98,70,0,0
CITY,61,402,286,0,0
