DUMMY,CONST1,RETAIL1,SERV1,HC1,ACCOM1,REST1,AG2,CONST2,MANUF2,RETAIL2,SERV2,HC2,ACCOM2,REST2,AG3,UTIL,CONST3,RETAIL3,SERV3,HC3,HS1,HS2,HS3,L1,L2,L3,L4,L5,LAND,KAP,INVES,HH1,HH2,HH3,HH4,HH5,USSOCL1,USSOCL2,USSOCL3,USSOCL4,USSOCL5,STPIT,LOCTAX,PROPTX,ACCTAX,CYGF,FED,ROW
L4,425.8496512,256.6539,2508.282863,3552.209719,0,0,111.72,1703.398605,6783.171,598.8591,3027.237938,1099.493484,0,0,782.04,0,1533.058744,0,1383.8802,761.1877969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2143.029,0
L5,510.8780455,789.7666667,4146.20375,5715.238,0,0,839.3469231,1702.926818,5160.689156,2053.393333,5103.02,1746.322722,0,0,5315.863846,530.67,1532.634136,0,2392.040625,1270.052889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.19,0
LAND,548.7837073,5500.291074,25246.95135,4612.103041,5061.30346,75715.01845,173.6475784,3270.299732,2827.018017,24569.26281,31980.10179,4686.26759,4578.297699,14384.66327,120.855475,95.70949881,1344.084965,125.7399613,9725.055928,1751.959172,29111.62501,10937.04125,7082.966585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-131724.5237
KAP,981.1934701,13728.87806,61417.50129,28640.87382,3496.509077,161482.9857,237.6285253,2843.447868,1174.236211,18601.54062,74401.18112,5161.18076,17576.94333,13754.94305,266.3956096,101.9812841,4116.763288,231.8892421,39221.96485,5407.800726,16527.76465,9440.929095,8956.35072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-243885.4412
INVES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.9,850,2656,1165,2142,0,0,0,0,0,0,0,0,0,0,0,480815.9824
HH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.4543753,0,0,0,0,574.6102851,1063.879974,0,0,0,0,0,0,2746.898415,0,0,0,0,0,0,0,0,0,0,2404.265395
HH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.288838,6812.789529,0,0,0,6892.383394,12761.11629,0,0,0,0,0,0,3493.307707,5266.948198,0,0,0,0,0,0,0,0,0,3625.797295
HH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227.009857,10754.63765,24856.60014,0,0,32970.05386,61043.42536,0,0,0,0,0,0,5111.668809,9321.950991,667.5383972,0,0,0,0,0,0,0,0,12216.78423
HH4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745.940195,2369.665923,13778.19034,6470.542958,0,20358.32991,37693.05922,0,0,0,0,0,0,1347.405894,2711.034002,168.72,0,0,0,0,0,0,0,0,8122.591677
HH5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135.126384,4351.982609,20527.64169,18279.28386,37108.15585,70929.14626,131323.9603,0,0,0,0,0,0,1720.094698,4468.17869,59.28,0,0,0,0,0,0,0,0,20323.7838
USSOCL1,2.690735589,30.79003921,41.95023437,29.13000516,6.551568986,77.15759762,7.959708,11.7719682,30.79965821,69.08984407,51.46472051,8.687896277,17.19786859,9.352436075,1.5919416,0.610675213,10.76294235,0.375488283,23.78621536,6.643685388,0,0,0,455.0291107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66388161,0
USSOCL2,8.108802026,155.4423,94.62443374,239.2263058,49.49267912,159.1746428,1.635854383,29.19168729,204.2195543,341.6314285,116.5908201,69.39389024,128.3143533,19.89683036,29.4453789,4.49388,24.32640608,3.416314285,54.07110499,51.13234018,0,0,0,0,1884.497253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.6682469,0
USSOCL3,60.13793337,168.7790438,414.6605264,417.4654749,13.485744,46.366344,53.87805818,233.0344918,1038.503882,373.4685225,506.80731,120.845269,33.71436,5.454864,3.591870545,97.5282766,210.4827668,0,233.9110662,87.88746839,0,0,0,0,0,4590.188703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1854308,0
USSOCL4,30.66117488,18.4790808,180.5963661,255.7590998,0,0,8.04384,122.6446995,488.388312,43.1178552,217.9611315,79.16353088,0,0,56.30688,0,110.3802296,0,99.6393744,54.80552138,0,0,0,0,0,0,1920.245184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.298088,0
USSOCL5,36.78321927,56.8632,298.52667,411.497136,0,0,60.43297846,122.6107309,371.5696193,147.84432,367.41744,125.735236,0,0,382.7421969,38.20824,110.3496578,0,172.226925,91.443808,0,0,0,0,0,0,0,2879.081058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.82968,0
STPIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.20157595,445.5530911,2017.403394,2081.556973,9621.364966,0,0,0,0,0,0,0,0,0,0,0,0
LOCTAX,10.68510817,69.5641873,205.7429854,110.1401455,4.964710244,279.036554,4.940890054,77.69392005,276.3665617,75.45666486,128.4347911,20.66053827,10.51921904,24.30106044,15.46600794,3.238858347,69.60546986,0.541807858,59.15174066,14.9887791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROPTX,4.801447271,60.34589471,271.9745142,104.3560763,26.85653503,744.3860775,1.290686263,19.186454,12.55692665,135.4806721,333.8508104,30.90373158,69.52863296,88.3090532,1.215289803,0.620402634,17.13749416,1.122329005,153.6078726,22.46909963,0,0,0,0,0,0,0,0,0,0,0,6.107096663,73.25391264,350.4136823,216.3732392,753.8520692,0,0,0,0,0,0,0,0,0,0,0,0
ACCTAX,0,0,0,0,192.6692248,0,0,0,0,0,0,0,495.8307752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYGF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13509.3173,-17999.11737,8284.839009,3840.490368,5758.162115,14194.08,1461.5,3500,688.5,0,0,0
FED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6219.136822,0,6278.693611
ROW,39192.13743,38218.72019,27522.76073,57379.37299,34936.34785,15387.36372,5953.471209,20568.1232,265591.4556,54344.1245,92066.30142,83809.34862,14783.49986,35038.14712,4242.994477,65468.3509,5058.361877,17445.53798,21178.66361,39889.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
